id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-686294,2020-08-03,000001,Vente,146000,29,,RUE GEORGES BIZET,0540,69150,69275,Décines-Charpieu,69,,,69275000AV0414,,,61,40.19,,,,,,,,,1,2,Appartement,40,2,,,,,,4.966904,45.773253
2020-686294,2020-08-03,000001,Vente,146000,29,,RUE GEORGES BIZET,0540,69150,69275,Décines-Charpieu,69,,,69275000AV0414,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.966904,45.773253
2020-686295,2020-08-06,000001,Vente,419105,280,,RUE DE BRESIN,0008,69124,69299,Colombier-Saugnieu,69,,,692990000D1285,,,,,,,,,,,,,0,1,Maison,110,5,S,sols,,,734,5.123236,45.712721
2020-686295,2020-08-06,000001,Vente,419105,,,BOURG BRESIN,B006,69124,69299,Colombier-Saugnieu,69,,,692990000D1293,,,,,,,,,,,,,0,,,,,BP,peupleraies,,,7,5.123097,45.712785
2020-686296,2020-07-28,000001,Vente en l'état futur d'achèvement,230000,15,,RUE EDOUARD AYNARD,1365,69100,69266,Villeurbanne,69,,,69266000CO0103,,,21,,,,,,,,,,1,,,,,,,,,,4.876854,45.760688
2020-686297,2020-07-27,000001,Vente en l'état futur d'achèvement,332000,,,,,,69029,Bron,69,,,690290000D0882,,,51,,,,,,,,,,1,,,,,,,,,,4.892018,45.73814
2020-686297,2020-07-27,000001,Vente en l'état futur d'achèvement,332000,,,,,,69029,Bron,69,,,690290000D0882,,,114,,,,,,,,,,1,,,,,,,,,,4.892018,45.73814
2020-686298,2020-07-29,000001,Vente,237900,7,,RUE JEAN-LOUIS BARRAULT,0615,69330,69282,Meyzieu,69,,,69282000BY0294,,,149,66.74,,,,,,,,,1,2,Appartement,66,3,,,,,,5.009179,45.768056
2020-686298,2020-07-29,000001,Vente,237900,5,,RUE JEAN-LOUIS BARRAULT,0615,69330,69282,Meyzieu,69,,,69282000BY0294,,,590,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.009179,45.768056
2020-686298,2020-07-29,000001,Vente,237900,9,,RUE JEAN-LOUIS BARRAULT,0615,69330,69282,Meyzieu,69,,,69282000BY0294,,,347,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.009179,45.768056
